card_id,r1c1,r1c2,r1c3,r1c4,r1c5,r2c1,r2c2,r2c3,r2c4,r2c5,r3c1,r3c2,r3c3,r3c4,r3c5,r4c1,r4c2,r4c3,r4c4,r4c5,r5c1,r5c2,r5c3,r5c4,r5c5
Card 11,HAS A MASTERS DEGREE,HAS A PET DOG,IS WEARING A DRESS,HAS A SISTER,IS WEARING EARRINGS,HAS 3+ CHILDREN,HAS A TATTOO,CAN SPEAK MORE THAN ONE LANGUAGE,WAS BORN IN ANOTHER COUNTRY,HAS TRAVELED THE FURTHEST,PLAYS A MUSICAL INSTRUMENT,IS RELATED TO THE DAD-TO-BE,FREE SPACE,IS VEGETARIAN OR VEGAN,IS WEARING THEIR HAIR UP,HAS A BROTHER,HAS BEEN TO MORE THAN 3 COUNTRIES,IS AN ONLY CHILD,IS WEARING A RING,HAS TRAVELED WITH THE MOM-TO-BE,IS WEARING NAIL POLISH,IS RELATED TO THE MOM-TO-BE,IS WEARING GLASSES,HAS LIPSTICK IN THEIR BAG,HAS A BABY UNDER 2 YEARS OLD
Card 12,IS LEFT-HANDED,IS RELATED TO THE DAD-TO-BE,IS WEARING A DRESS,HAS TRAVELED WITH THE MOM-TO-BE,IS THE SAME AGE AS YOU,WAS BORN IN AUGUST,IS RELATED TO THE MOM-TO-BE,HAS BEEN TO MORE THAN 3 COUNTRIES,HAS 3+ CHILDREN,WAS BORN IN CALIFORNIA,HAS A SISTER,HAS A PET CAT,FREE SPACE,IS WEARING THEIR HAIR UP,CAN SPEAK MORE THAN ONE LANGUAGE,HAS THE SAME SHOE SIZE AS YOU,PLAYS A MUSICAL INSTRUMENT,WAS BORN IN ANOTHER COUNTRY,IS AN ONLY CHILD,HAS TRAVELED THE FURTHEST,IS WEARING NAIL POLISH,IS VEGETARIAN OR VEGAN,IS WEARING GLASSES,HAS A MASTERS DEGREE,IS WEARING EARRINGS
Card 13,HAS TRAVELED THE FURTHEST,IS RELATED TO THE MOM-TO-BE,IS WEARING THEIR HAIR UP,PLAYS A MUSICAL INSTRUMENT,WAS BORN IN CALIFORNIA,IS WEARING NAIL POLISH,HAS A MASTERS DEGREE,HAS TRAVELED WITH THE MOM-TO-BE,HAS A PET CAT,HAS LIPSTICK IN THEIR BAG,HAS A BABY UNDER 2 YEARS OLD,HAS A TATTOO,FREE SPACE,IS WEARING EARRINGS,HAS 3+ CHILDREN,WAS BORN IN ANOTHER COUNTRY,IS THE SAME AGE AS YOU,HAS BEEN TO MORE THAN 3 COUNTRIES,IS WEARING A RING,HAS A PET DOG,IS WEARING A DRESS,HAS A BROTHER,IS RELATED TO THE DAD-TO-BE,IS LEFT-HANDED,CAN SPEAK MORE THAN ONE LANGUAGE
Card 14,WAS BORN IN ANOTHER COUNTRY,IS THE SAME AGE AS YOU,HAS A SISTER,HAS LIPSTICK IN THEIR BAG,IS WEARING NAIL POLISH,IS WEARING THEIR HAIR UP,HAS A BABY UNDER 2 YEARS OLD,HAS THE SAME SHOE SIZE AS YOU,IS VEGETARIAN OR VEGAN,HAS TRAVELED THE FURTHEST,HAS A TATTOO,IS WEARING A RING,FREE SPACE,IS RELATED TO THE DAD-TO-BE,WAS BORN IN AUGUST,IS AN ONLY CHILD,IS LEFT-HANDED,PLAYS A MUSICAL INSTRUMENT,IS WEARING EARRINGS,IS RELATED TO THE MOM-TO-BE,HAS A MASTERS DEGREE,IS WEARING GLASSES,IS WEARING A DRESS,HAS A PET CAT,WAS BORN IN CALIFORNIA
Card 15,IS WEARING A RING,WAS BORN IN ANOTHER COUNTRY,IS THE SAME AGE AS YOU,HAS A TATTOO,HAS A PET DOG,HAS 3+ CHILDREN,HAS TRAVELED WITH THE MOM-TO-BE,CAN SPEAK MORE THAN ONE LANGUAGE,IS AN ONLY CHILD,IS WEARING NAIL POLISH,HAS LIPSTICK IN THEIR BAG,HAS A MASTERS DEGREE,FREE SPACE,HAS A BROTHER,IS WEARING GLASSES,HAS A BABY UNDER 2 YEARS OLD,IS WEARING A DRESS,IS LEFT-HANDED,HAS A PET CAT,HAS BEEN TO MORE THAN 3 COUNTRIES,IS WEARING EARRINGS,HAS TRAVELED THE FURTHEST,HAS THE SAME SHOE SIZE AS YOU,WAS BORN IN AUGUST,WAS BORN IN CALIFORNIA
Card 16,HAS 3+ CHILDREN,IS WEARING THEIR HAIR UP,CAN SPEAK MORE THAN ONE LANGUAGE,IS WEARING GLASSES,IS WEARING NAIL POLISH,HAS A TATTOO,HAS TRAVELED THE FURTHEST,WAS BORN IN CALIFORNIA,IS RELATED TO THE DAD-TO-BE,HAS A BROTHER,IS VEGETARIAN OR VEGAN,WAS BORN IN AUGUST,FREE SPACE,HAS THE SAME SHOE SIZE AS YOU,IS AN ONLY CHILD,HAS A SISTER,IS WEARING A RING,IS LEFT-HANDED,HAS A BABY UNDER 2 YEARS OLD,HAS LIPSTICK IN THEIR BAG,PLAYS A MUSICAL INSTRUMENT,HAS A MASTERS DEGREE,IS RELATED TO THE MOM-TO-BE,HAS A PET DOG,IS THE SAME AGE AS YOU
Card 17,IS THE SAME AGE AS YOU,HAS A PET DOG,HAS A PET CAT,IS WEARING GLASSES,PLAYS A MUSICAL INSTRUMENT,WAS BORN IN ANOTHER COUNTRY,IS WEARING A RING,IS LEFT-HANDED,CAN SPEAK MORE THAN ONE LANGUAGE,HAS A BABY UNDER 2 YEARS OLD,HAS A BROTHER,IS RELATED TO THE MOM-TO-BE,FREE SPACE,HAS TRAVELED WITH THE MOM-TO-BE,HAS A SISTER,IS WEARING EARRINGS,IS WEARING A DRESS,WAS BORN IN CALIFORNIA,HAS 3+ CHILDREN,HAS THE SAME SHOE SIZE AS YOU,IS AN ONLY CHILD,HAS A TATTOO,WAS BORN IN AUGUST,HAS BEEN TO MORE THAN 3 COUNTRIES,IS VEGETARIAN OR VEGAN
Card 18,HAS A PET DOG,IS RELATED TO THE MOM-TO-BE,HAS 3+ CHILDREN,HAS LIPSTICK IN THEIR BAG,IS WEARING GLASSES,HAS A BABY UNDER 2 YEARS OLD,HAS THE SAME SHOE SIZE AS YOU,IS WEARING EARRINGS,HAS A MASTERS DEGREE,IS WEARING NAIL POLISH,HAS A TATTOO,HAS A SISTER,FREE SPACE,IS VEGETARIAN OR VEGAN,HAS BEEN TO MORE THAN 3 COUNTRIES,HAS TRAVELED THE FURTHEST,IS WEARING A RING,HAS TRAVELED WITH THE MOM-TO-BE,PLAYS A MUSICAL INSTRUMENT,HAS A BROTHER,CAN SPEAK MORE THAN ONE LANGUAGE,IS WEARING A DRESS,IS WEARING THEIR HAIR UP,IS AN ONLY CHILD,IS RELATED TO THE DAD-TO-BE
Card 19,IS WEARING EARRINGS,IS LEFT-HANDED,WAS BORN IN ANOTHER COUNTRY,WAS BORN IN CALIFORNIA,HAS TRAVELED WITH THE MOM-TO-BE,IS WEARING THEIR HAIR UP,IS AN ONLY CHILD,IS RELATED TO THE MOM-TO-BE,IS VEGETARIAN OR VEGAN,HAS A PET CAT,HAS TRAVELED THE FURTHEST,HAS A SISTER,FREE SPACE,IS WEARING A DRESS,IS WEARING NAIL POLISH,HAS A PET DOG,IS RELATED TO THE DAD-TO-BE,CAN SPEAK MORE THAN ONE LANGUAGE,IS THE SAME AGE AS YOU,HAS 3+ CHILDREN,HAS BEEN TO MORE THAN 3 COUNTRIES,PLAYS A MUSICAL INSTRUMENT,WAS BORN IN AUGUST,IS WEARING GLASSES,HAS THE SAME SHOE SIZE AS YOU
Card 20,IS WEARING A RING,IS VEGETARIAN OR VEGAN,IS WEARING EARRINGS,IS THE SAME AGE AS YOU,IS LEFT-HANDED,HAS BEEN TO MORE THAN 3 COUNTRIES,IS RELATED TO THE DAD-TO-BE,HAS TRAVELED THE FURTHEST,HAS A BROTHER,HAS A PET DOG,CAN SPEAK MORE THAN ONE LANGUAGE,IS WEARING THEIR HAIR UP,FREE SPACE,HAS A MASTERS DEGREE,IS RELATED TO THE MOM-TO-BE,HAS 3+ CHILDREN,HAS A BABY UNDER 2 YEARS OLD,WAS BORN IN ANOTHER COUNTRY,HAS LIPSTICK IN THEIR BAG,HAS TRAVELED WITH THE MOM-TO-BE,HAS A TATTOO,HAS A PET CAT,IS WEARING A DRESS,PLAYS A MUSICAL INSTRUMENT,IS WEARING NAIL POLISH
Card 21,IS WEARING THEIR HAIR UP,HAS A MASTERS DEGREE,HAS THE SAME SHOE SIZE AS YOU,HAS LIPSTICK IN THEIR BAG,WAS BORN IN AUGUST,IS WEARING GLASSES,PLAYS A MUSICAL INSTRUMENT,IS RELATED TO THE DAD-TO-BE,WAS BORN IN ANOTHER COUNTRY,IS VEGETARIAN OR VEGAN,HAS A PET CAT,IS WEARING NAIL POLISH,FREE SPACE,HAS A SISTER,IS WEARING EARRINGS,IS RELATED TO THE MOM-TO-BE,IS THE SAME AGE AS YOU,WAS BORN IN CALIFORNIA,IS AN ONLY CHILD,HAS A BABY UNDER 2 YEARS OLD,IS WEARING A DRESS,IS LEFT-HANDED,HAS A TATTOO,HAS BEEN TO MORE THAN 3 COUNTRIES,HAS TRAVELED THE FURTHEST
Card 22,CAN SPEAK MORE THAN ONE LANGUAGE,HAS A PET CAT,HAS A BROTHER,HAS TRAVELED THE FURTHEST,IS WEARING EARRINGS,WAS BORN IN AUGUST,HAS A PET DOG,HAS 3+ CHILDREN,HAS TRAVELED WITH THE MOM-TO-BE,WAS BORN IN CALIFORNIA,IS THE SAME AGE AS YOU,WAS BORN IN ANOTHER COUNTRY,FREE SPACE,IS LEFT-HANDED,IS WEARING A RING,HAS A BABY UNDER 2 YEARS OLD,IS WEARING A DRESS,HAS A MASTERS DEGREE,HAS LIPSTICK IN THEIR BAG,HAS THE SAME SHOE SIZE AS YOU,IS WEARING NAIL POLISH,IS RELATED TO THE DAD-TO-BE,HAS A TATTOO,IS AN ONLY CHILD,HAS BEEN TO MORE THAN 3 COUNTRIES
Card 23,HAS A MASTERS DEGREE,IS WEARING GLASSES,IS WEARING A RING,WAS BORN IN AUGUST,HAS 3+ CHILDREN,IS LEFT-HANDED,IS RELATED TO THE MOM-TO-BE,IS WEARING NAIL POLISH,HAS A TATTOO,HAS A PET DOG,IS THE SAME AGE AS YOU,HAS A SISTER,FREE SPACE,HAS THE SAME SHOE SIZE AS YOU,HAS A BROTHER,IS RELATED TO THE DAD-TO-BE,WAS BORN IN CALIFORNIA,HAS A PET CAT,IS VEGETARIAN OR VEGAN,HAS A BABY UNDER 2 YEARS OLD,IS WEARING THEIR HAIR UP,IS AN ONLY CHILD,HAS TRAVELED THE FURTHEST,PLAYS A MUSICAL INSTRUMENT,HAS LIPSTICK IN THEIR BAG
Card 24,IS LEFT-HANDED,IS WEARING GLASSES,HAS THE SAME SHOE SIZE AS YOU,IS RELATED TO THE MOM-TO-BE,HAS A TATTOO,WAS BORN IN AUGUST,WAS BORN IN ANOTHER COUNTRY,IS WEARING A RING,HAS A SISTER,IS VEGETARIAN OR VEGAN,IS WEARING EARRINGS,IS WEARING A DRESS,FREE SPACE,IS AN ONLY CHILD,IS THE SAME AGE AS YOU,WAS BORN IN CALIFORNIA,HAS TRAVELED WITH THE MOM-TO-BE,HAS LIPSTICK IN THEIR BAG,HAS A BROTHER,HAS 3+ CHILDREN,HAS A PET DOG,HAS A PET CAT,HAS A BABY UNDER 2 YEARS OLD,CAN SPEAK MORE THAN ONE LANGUAGE,HAS BEEN TO MORE THAN 3 COUNTRIES
Card 25,IS AN ONLY CHILD,HAS A SISTER,IS VEGETARIAN OR VEGAN,IS WEARING GLASSES,IS RELATED TO THE DAD-TO-BE,HAS 3+ CHILDREN,IS WEARING EARRINGS,PLAYS A MUSICAL INSTRUMENT,IS WEARING THEIR HAIR UP,HAS THE SAME SHOE SIZE AS YOU,HAS TRAVELED THE FURTHEST,HAS BEEN TO MORE THAN 3 COUNTRIES,FREE SPACE,IS WEARING A RING,HAS A BABY UNDER 2 YEARS OLD,HAS LIPSTICK IN THEIR BAG,HAS A TATTOO,CAN SPEAK MORE THAN ONE LANGUAGE,IS WEARING NAIL POLISH,WAS BORN IN AUGUST,HAS TRAVELED WITH THE MOM-TO-BE,HAS A BROTHER,HAS A MASTERS DEGREE,HAS A PET DOG,IS RELATED TO THE MOM-TO-BE
Card 26,HAS 3+ CHILDREN,HAS A BROTHER,HAS A PET DOG,IS LEFT-HANDED,WAS BORN IN ANOTHER COUNTRY,IS WEARING THEIR HAIR UP,IS VEGETARIAN OR VEGAN,IS WEARING A DRESS,CAN SPEAK MORE THAN ONE LANGUAGE,WAS BORN IN AUGUST,HAS TRAVELED WITH THE MOM-TO-BE,HAS THE SAME SHOE SIZE AS YOU,FREE SPACE,IS RELATED TO THE DAD-TO-BE,WAS BORN IN CALIFORNIA,HAS A SISTER,IS THE SAME AGE AS YOU,IS WEARING GLASSES,IS RELATED TO THE MOM-TO-BE,IS WEARING NAIL POLISH,IS WEARING EARRINGS,HAS BEEN TO MORE THAN 3 COUNTRIES,HAS A PET CAT,PLAYS A MUSICAL INSTRUMENT,IS AN ONLY CHILD
Card 27,IS RELATED TO THE MOM-TO-BE,HAS BEEN TO MORE THAN 3 COUNTRIES,IS WEARING A DRESS,IS RELATED TO THE DAD-TO-BE,PLAYS A MUSICAL INSTRUMENT,HAS A MASTERS DEGREE,HAS A PET DOG,CAN SPEAK MORE THAN ONE LANGUAGE,HAS A BROTHER,HAS A TATTOO,IS VEGETARIAN OR VEGAN,IS WEARING NAIL POLISH,FREE SPACE,HAS A SISTER,HAS TRAVELED WITH THE MOM-TO-BE,HAS 3+ CHILDREN,IS WEARING A RING,HAS A PET CAT,HAS A BABY UNDER 2 YEARS OLD,IS THE SAME AGE AS YOU,HAS LIPSTICK IN THEIR BAG,WAS BORN IN ANOTHER COUNTRY,IS WEARING EARRINGS,IS WEARING THEIR HAIR UP,HAS TRAVELED THE FURTHEST
Card 28,IS LEFT-HANDED,HAS A MASTERS DEGREE,IS AN ONLY CHILD,IS RELATED TO THE MOM-TO-BE,HAS LIPSTICK IN THEIR BAG,IS WEARING NAIL POLISH,IS THE SAME AGE AS YOU,HAS BEEN TO MORE THAN 3 COUNTRIES,IS WEARING GLASSES,WAS BORN IN CALIFORNIA,WAS BORN IN ANOTHER COUNTRY,HAS TRAVELED WITH THE MOM-TO-BE,FREE SPACE,HAS A TATTOO,IS WEARING THEIR HAIR UP,IS WEARING A DRESS,IS RELATED TO THE DAD-TO-BE,IS WEARING EARRINGS,IS VEGETARIAN OR VEGAN,HAS TRAVELED THE FURTHEST,WAS BORN IN AUGUST,HAS A PET CAT,HAS A SISTER,HAS THE SAME SHOE SIZE AS YOU,PLAYS A MUSICAL INSTRUMENT
Card 29,WAS BORN IN CALIFORNIA,WAS BORN IN ANOTHER COUNTRY,HAS A BABY UNDER 2 YEARS OLD,IS WEARING EARRINGS,IS THE SAME AGE AS YOU,HAS A PET CAT,HAS BEEN TO MORE THAN 3 COUNTRIES,IS WEARING NAIL POLISH,IS WEARING THEIR HAIR UP,HAS THE SAME SHOE SIZE AS YOU,IS WEARING A DRESS,HAS 3+ CHILDREN,FREE SPACE,HAS A MASTERS DEGREE,CAN SPEAK MORE THAN ONE LANGUAGE,HAS A BROTHER,IS LEFT-HANDED,HAS TRAVELED THE FURTHEST,HAS A PET DOG,WAS BORN IN AUGUST,HAS A TATTOO,IS RELATED TO THE DAD-TO-BE,IS WEARING A RING,HAS TRAVELED WITH THE MOM-TO-BE,HAS LIPSTICK IN THEIR BAG
Card 30,WAS BORN IN ANOTHER COUNTRY,IS AN ONLY CHILD,HAS A TATTOO,IS WEARING NAIL POLISH,IS VEGETARIAN OR VEGAN,IS LEFT-HANDED,HAS A MASTERS DEGREE,IS RELATED TO THE DAD-TO-BE,PLAYS A MUSICAL INSTRUMENT,WAS BORN IN AUGUST,IS WEARING THEIR HAIR UP,HAS LIPSTICK IN THEIR BAG,FREE SPACE,HAS A PET CAT,HAS TRAVELED THE FURTHEST,HAS A PET DOG,WAS BORN IN CALIFORNIA,HAS THE SAME SHOE SIZE AS YOU,IS THE SAME AGE AS YOU,IS RELATED TO THE MOM-TO-BE,HAS A BABY UNDER 2 YEARS OLD,HAS A SISTER,IS WEARING A RING,IS WEARING GLASSES,HAS A BROTHER
Card 31,WAS BORN IN AUGUST,IS THE SAME AGE AS YOU,IS LEFT-HANDED,HAS A BABY UNDER 2 YEARS OLD,HAS 3+ CHILDREN,IS WEARING EARRINGS,IS RELATED TO THE MOM-TO-BE,HAS LIPSTICK IN THEIR BAG,HAS A PET CAT,WAS BORN IN CALIFORNIA,IS VEGETARIAN OR VEGAN,IS WEARING A DRESS,FREE SPACE,HAS THE SAME SHOE SIZE AS YOU,PLAYS A MUSICAL INSTRUMENT,HAS BEEN TO MORE THAN 3 COUNTRIES,HAS A TATTOO,HAS A SISTER,IS WEARING NAIL POLISH,IS WEARING THEIR HAIR UP,IS WEARING GLASSES,CAN SPEAK MORE THAN ONE LANGUAGE,HAS A MASTERS DEGREE,HAS A BROTHER,HAS TRAVELED WITH THE MOM-TO-BE
Card 32,IS RELATED TO THE DAD-TO-BE,HAS TRAVELED THE FURTHEST,IS RELATED TO THE MOM-TO-BE,HAS THE SAME SHOE SIZE AS YOU,HAS LIPSTICK IN THEIR BAG,HAS A BROTHER,WAS BORN IN ANOTHER COUNTRY,HAS A SISTER,IS WEARING A DRESS,IS AN ONLY CHILD,PLAYS A MUSICAL INSTRUMENT,HAS A PET DOG,FREE SPACE,IS WEARING THEIR HAIR UP,CAN SPEAK MORE THAN ONE LANGUAGE,HAS BEEN TO MORE THAN 3 COUNTRIES,IS THE SAME AGE AS YOU,HAS A BABY UNDER 2 YEARS OLD,IS WEARING NAIL POLISH,HAS A TATTOO,WAS BORN IN AUGUST,IS WEARING EARRINGS,IS WEARING A RING,HAS TRAVELED WITH THE MOM-TO-BE,WAS BORN IN CALIFORNIA
Card 33,HAS A BROTHER,IS WEARING NAIL POLISH,IS WEARING EARRINGS,HAS A TATTOO,WAS BORN IN ANOTHER COUNTRY,HAS A PET DOG,IS LEFT-HANDED,HAS A PET CAT,HAS TRAVELED WITH THE MOM-TO-BE,IS VEGETARIAN OR VEGAN,IS AN ONLY CHILD,IS WEARING THEIR HAIR UP,FREE SPACE,IS WEARING GLASSES,HAS A SISTER,IS THE SAME AGE AS YOU,PLAYS A MUSICAL INSTRUMENT,IS WEARING A DRESS,HAS THE SAME SHOE SIZE AS YOU,HAS TRAVELED THE FURTHEST,WAS BORN IN AUGUST,HAS 3+ CHILDREN,IS WEARING A RING,IS RELATED TO THE DAD-TO-BE,HAS A MASTERS DEGREE
Card 34,IS RELATED TO THE MOM-TO-BE,HAS A MASTERS DEGREE,IS WEARING NAIL POLISH,IS THE SAME AGE AS YOU,HAS A SISTER,HAS BEEN TO MORE THAN 3 COUNTRIES,IS WEARING A DRESS,HAS A BABY UNDER 2 YEARS OLD,IS WEARING THEIR HAIR UP,HAS THE SAME SHOE SIZE AS YOU,HAS LIPSTICK IN THEIR BAG,HAS A BROTHER,FREE SPACE,HAS TRAVELED WITH THE MOM-TO-BE,HAS A PET CAT,IS WEARING GLASSES,HAS A TATTOO,HAS TRAVELED THE FURTHEST,HAS A PET DOG,WAS BORN IN ANOTHER COUNTRY,WAS BORN IN CALIFORNIA,CAN SPEAK MORE THAN ONE LANGUAGE,HAS 3+ CHILDREN,IS LEFT-HANDED,IS VEGETARIAN OR VEGAN
