card_id,r1c1,r1c2,r1c3,r1c4,r1c5,r2c1,r2c2,r2c3,r2c4,r2c5,r3c1,r3c2,r3c3,r3c4,r3c5,r4c1,r4c2,r4c3,r4c4,r4c5,r5c1,r5c2,r5c3,r5c4,r5c5
Card 11,IS AN ONLY CHILD,CAN SPEAK MORE THAN ONE LANGUAGE,HAS A SISTER,IS WEARING GLASSES,HAS BEEN TO MORE THAN 3 COUNTRIES,IS LEFT-HANDED,IS WEARING A RING,IS WEARING A DRESS,HAS TRAVELED THE FURTHEST,HAS LIPSTICK IN THEIR BAG,IS RELATED TO THE DAD-TO-BE,HAS TRAVELED WITH THE MOM-TO-BE,FREE SPACE,WAS BORN IN AUGUST,HAS A PET DOG,IS VEGETARIAN OR VEGAN,HAS A BABY UNDER 2 YEARS OLD,PLAYS A MUSICAL INSTRUMENT,WAS BORN IN ANOTHER COUNTRY,WAS BORN IN CALIFORNIA,HAS A PET CAT,HAS A MASTERS DEGREE,HAS THE SAME SHOE SIZE AS YOU,HAS A BROTHER,IS WEARING THEIR HAIR UP
Card 12,IS VEGETARIAN OR VEGAN,HAS A BABY UNDER 2 YEARS OLD,PLAYS A MUSICAL INSTRUMENT,IS AN ONLY CHILD,IS WEARING GLASSES,IS WEARING A RING,IS LEFT-HANDED,IS WEARING A DRESS,HAS TRAVELED THE FURTHEST,HAS A BROTHER,HAS BEEN TO MORE THAN 3 COUNTRIES,HAS 3+ CHILDREN,FREE SPACE,IS RELATED TO THE DAD-TO-BE,HAS TRAVELED WITH THE MOM-TO-BE,CAN SPEAK MORE THAN ONE LANGUAGE,WAS BORN IN CALIFORNIA,HAS A SISTER,WAS BORN IN ANOTHER COUNTRY,HAS A PET DOG,WAS BORN IN AUGUST,HAS A MASTERS DEGREE,HAS A PET CAT,HAS LIPSTICK IN THEIR BAG,IS WEARING THEIR HAIR UP
Card 13,HAS 3+ CHILDREN,HAS A BROTHER,IS WEARING GLASSES,IS WEARING A RING,IS RELATED TO THE DAD-TO-BE,IS WEARING THEIR HAIR UP,IS RELATED TO THE MOM-TO-BE,HAS A MASTERS DEGREE,HAS A SISTER,PLAYS A MUSICAL INSTRUMENT,IS AN ONLY CHILD,WAS BORN IN ANOTHER COUNTRY,FREE SPACE,IS LEFT-HANDED,HAS LIPSTICK IN THEIR BAG,HAS A PET CAT,IS WEARING A DRESS,HAS BEEN TO MORE THAN 3 COUNTRIES,WAS BORN IN CALIFORNIA,IS VEGETARIAN OR VEGAN,HAS A BABY UNDER 2 YEARS OLD,HAS TRAVELED THE FURTHEST,WAS BORN IN AUGUST,HAS TRAVELED WITH THE MOM-TO-BE,CAN SPEAK MORE THAN ONE LANGUAGE
Card 14,HAS LIPSTICK IN THEIR BAG,HAS A PET CAT,HAS A MASTERS DEGREE,IS WEARING EARRINGS,IS WEARING A RING,PLAYS A MUSICAL INSTRUMENT,IS RELATED TO THE MOM-TO-BE,HAS A BABY UNDER 2 YEARS OLD,HAS TRAVELED THE FURTHEST,WAS BORN IN ANOTHER COUNTRY,HAS A SISTER,WAS BORN IN CALIFORNIA,FREE SPACE,WAS BORN IN AUGUST,HAS 3+ CHILDREN,IS AN ONLY CHILD,CAN SPEAK MORE THAN ONE LANGUAGE,HAS A BROTHER,IS LEFT-HANDED,IS WEARING GLASSES,IS RELATED TO THE DAD-TO-BE,IS WEARING THEIR HAIR UP,HAS TRAVELED WITH THE MOM-TO-BE,HAS BEEN TO MORE THAN 3 COUNTRIES,IS WEARING A DRESS
Card 15,HAS A BABY UNDER 2 YEARS OLD,PLAYS A MUSICAL INSTRUMENT,HAS A SISTER,WAS BORN IN CALIFORNIA,HAS LIPSTICK IN THEIR BAG,HAS A BROTHER,IS WEARING NAIL POLISH,IS WEARING THEIR HAIR UP,HAS TRAVELED WITH THE MOM-TO-BE,HAS A PET CAT,IS LEFT-HANDED,IS RELATED TO THE DAD-TO-BE,FREE SPACE,IS AN ONLY CHILD,HAS 3+ CHILDREN,IS WEARING A RING,IS RELATED TO THE MOM-TO-BE,IS WEARING EARRINGS,CAN SPEAK MORE THAN ONE LANGUAGE,WAS BORN IN ANOTHER COUNTRY,IS WEARING GLASSES,HAS TRAVELED THE FURTHEST,IS WEARING A DRESS,HAS A MASTERS DEGREE,WAS BORN IN AUGUST
Card 16,IS AN ONLY CHILD,IS WEARING A RING,IS LEFT-HANDED,IS WEARING A DRESS,HAS LIPSTICK IN THEIR BAG,HAS A BROTHER,HAS A SISTER,HAS 3+ CHILDREN,IS WEARING THEIR HAIR UP,IS WEARING NAIL POLISH,WAS BORN IN CALIFORNIA,PLAYS A MUSICAL INSTRUMENT,FREE SPACE,HAS A MASTERS DEGREE,WAS BORN IN ANOTHER COUNTRY,HAS A PET CAT,HAS TRAVELED THE FURTHEST,IS RELATED TO THE MOM-TO-BE,WAS BORN IN AUGUST,HAS TRAVELED WITH THE MOM-TO-BE,IS WEARING EARRINGS,IS THE SAME AGE AS YOU,HAS A BABY UNDER 2 YEARS OLD,CAN SPEAK MORE THAN ONE LANGUAGE,IS WEARING GLASSES
Card 17,HAS 3+ CHILDREN,IS WEARING THEIR HAIR UP,WAS BORN IN AUGUST,HAS A BROTHER,WAS BORN IN CALIFORNIA,HAS A BABY UNDER 2 YEARS OLD,HAS A TATTOO,IS THE SAME AGE AS YOU,HAS A MASTERS DEGREE,HAS TRAVELED THE FURTHEST,IS WEARING GLASSES,HAS LIPSTICK IN THEIR BAG,FREE SPACE,IS WEARING NAIL POLISH,PLAYS A MUSICAL INSTRUMENT,HAS TRAVELED WITH THE MOM-TO-BE,IS AN ONLY CHILD,IS RELATED TO THE MOM-TO-BE,IS WEARING A RING,CAN SPEAK MORE THAN ONE LANGUAGE,HAS A SISTER,WAS BORN IN ANOTHER COUNTRY,IS WEARING A DRESS,IS WEARING EARRINGS,IS LEFT-HANDED
Card 18,WAS BORN IN AUGUST,IS WEARING GLASSES,HAS A SISTER,HAS A BABY UNDER 2 YEARS OLD,HAS TRAVELED THE FURTHEST,IS WEARING THEIR HAIR UP,IS AN ONLY CHILD,HAS 3+ CHILDREN,HAS A BROTHER,HAS A TATTOO,HAS A MASTERS DEGREE,IS THE SAME AGE AS YOU,FREE SPACE,PLAYS A MUSICAL INSTRUMENT,IS WEARING A RING,IS LEFT-HANDED,WAS BORN IN ANOTHER COUNTRY,IS WEARING EARRINGS,CAN SPEAK MORE THAN ONE LANGUAGE,IS RELATED TO THE MOM-TO-BE,WAS BORN IN CALIFORNIA,HAS TRAVELED WITH THE MOM-TO-BE,HAS THE SAME SHOE SIZE AS YOU,IS WEARING NAIL POLISH,IS WEARING A DRESS
Card 19,HAS 3+ CHILDREN,IS WEARING GLASSES,HAS A BROTHER,IS AN ONLY CHILD,HAS TRAVELED WITH THE MOM-TO-BE,HAS A MASTERS DEGREE,IS WEARING EARRINGS,HAS A PET DOG,HAS THE SAME SHOE SIZE AS YOU,IS THE SAME AGE AS YOU,IS WEARING A DRESS,WAS BORN IN ANOTHER COUNTRY,FREE SPACE,IS LEFT-HANDED,HAS A TATTOO,HAS TRAVELED THE FURTHEST,CAN SPEAK MORE THAN ONE LANGUAGE,IS WEARING NAIL POLISH,IS RELATED TO THE MOM-TO-BE,HAS A BABY UNDER 2 YEARS OLD,IS WEARING A RING,IS WEARING THEIR HAIR UP,WAS BORN IN CALIFORNIA,PLAYS A MUSICAL INSTRUMENT,HAS A SISTER
Card 20,IS WEARING THEIR HAIR UP,HAS THE SAME SHOE SIZE AS YOU,IS WEARING EARRINGS,HAS TRAVELED THE FURTHEST,IS WEARING GLASSES,HAS TRAVELED WITH THE MOM-TO-BE,IS VEGETARIAN OR VEGAN,HAS A PET DOG,HAS A BABY UNDER 2 YEARS OLD,IS WEARING A DRESS,HAS A MASTERS DEGREE,HAS A TATTOO,FREE SPACE,HAS 3+ CHILDREN,IS WEARING A RING,IS RELATED TO THE MOM-TO-BE,CAN SPEAK MORE THAN ONE LANGUAGE,IS THE SAME AGE AS YOU,PLAYS A MUSICAL INSTRUMENT,WAS BORN IN CALIFORNIA,IS WEARING NAIL POLISH,IS LEFT-HANDED,IS AN ONLY CHILD,HAS A SISTER,WAS BORN IN ANOTHER COUNTRY
Card 21,IS WEARING A DRESS,IS RELATED TO THE MOM-TO-BE,HAS 3+ CHILDREN,HAS TRAVELED WITH THE MOM-TO-BE,HAS THE SAME SHOE SIZE AS YOU,HAS A BABY UNDER 2 YEARS OLD,HAS A MASTERS DEGREE,WAS BORN IN ANOTHER COUNTRY,WAS BORN IN CALIFORNIA,HAS A TATTOO,IS LEFT-HANDED,IS WEARING THEIR HAIR UP,FREE SPACE,HAS A PET DOG,IS WEARING GLASSES,HAS TRAVELED THE FURTHEST,IS VEGETARIAN OR VEGAN,IS AN ONLY CHILD,IS WEARING NAIL POLISH,PLAYS A MUSICAL INSTRUMENT,CAN SPEAK MORE THAN ONE LANGUAGE,IS THE SAME AGE AS YOU,IS WEARING A RING,HAS BEEN TO MORE THAN 3 COUNTRIES,IS WEARING EARRINGS
Card 22,IS LEFT-HANDED,IS WEARING NAIL POLISH,IS WEARING A DRESS,HAS TRAVELED THE FURTHEST,IS RELATED TO THE MOM-TO-BE,WAS BORN IN ANOTHER COUNTRY,HAS A TATTOO,IS WEARING GLASSES,HAS BEEN TO MORE THAN 3 COUNTRIES,IS WEARING EARRINGS,PLAYS A MUSICAL INSTRUMENT,IS RELATED TO THE DAD-TO-BE,FREE SPACE,IS WEARING THEIR HAIR UP,CAN SPEAK MORE THAN ONE LANGUAGE,WAS BORN IN CALIFORNIA,HAS A PET DOG,IS VEGETARIAN OR VEGAN,IS THE SAME AGE AS YOU,IS AN ONLY CHILD,HAS A MASTERS DEGREE,HAS A BABY UNDER 2 YEARS OLD,HAS THE SAME SHOE SIZE AS YOU,HAS 3+ CHILDREN,IS WEARING A RING
Card 23,IS WEARING A DRESS,HAS A TATTOO,IS AN ONLY CHILD,IS THE SAME AGE AS YOU,IS WEARING A RING,WAS BORN IN CALIFORNIA,HAS TRAVELED THE FURTHEST,HAS A MASTERS DEGREE,HAS A PET DOG,HAS A BABY UNDER 2 YEARS OLD,PLAYS A MUSICAL INSTRUMENT,IS VEGETARIAN OR VEGAN,FREE SPACE,HAS BEEN TO MORE THAN 3 COUNTRIES,HAS 3+ CHILDREN,CAN SPEAK MORE THAN ONE LANGUAGE,HAS THE SAME SHOE SIZE AS YOU,WAS BORN IN ANOTHER COUNTRY,IS LEFT-HANDED,IS RELATED TO THE MOM-TO-BE,IS WEARING GLASSES,HAS A PET CAT,IS WEARING EARRINGS,IS RELATED TO THE DAD-TO-BE,IS WEARING NAIL POLISH
Card 24,HAS TRAVELED THE FURTHEST,IS LEFT-HANDED,CAN SPEAK MORE THAN ONE LANGUAGE,HAS BEEN TO MORE THAN 3 COUNTRIES,HAS LIPSTICK IN THEIR BAG,HAS A PET DOG,HAS A BABY UNDER 2 YEARS OLD,IS WEARING A RING,WAS BORN IN CALIFORNIA,IS WEARING A DRESS,PLAYS A MUSICAL INSTRUMENT,IS WEARING EARRINGS,FREE SPACE,HAS THE SAME SHOE SIZE AS YOU,HAS A PET CAT,IS RELATED TO THE DAD-TO-BE,HAS 3+ CHILDREN,IS VEGETARIAN OR VEGAN,IS WEARING NAIL POLISH,IS WEARING GLASSES,HAS A TATTOO,IS AN ONLY CHILD,IS RELATED TO THE MOM-TO-BE,IS THE SAME AGE AS YOU,HAS A MASTERS DEGREE
Card 25,IS RELATED TO THE DAD-TO-BE,WAS BORN IN CALIFORNIA,CAN SPEAK MORE THAN ONE LANGUAGE,HAS THE SAME SHOE SIZE AS YOU,HAS A BABY UNDER 2 YEARS OLD,IS THE SAME AGE AS YOU,HAS A TATTOO,IS WEARING NAIL POLISH,IS AN ONLY CHILD,HAS A PET CAT,PLAYS A MUSICAL INSTRUMENT,HAS BEEN TO MORE THAN 3 COUNTRIES,FREE SPACE,IS WEARING GLASSES,IS WEARING A DRESS,HAS A PET DOG,HAS 3+ CHILDREN,IS WEARING EARRINGS,IS VEGETARIAN OR VEGAN,IS LEFT-HANDED,IS RELATED TO THE MOM-TO-BE,WAS BORN IN AUGUST,HAS LIPSTICK IN THEIR BAG,IS WEARING A RING,HAS TRAVELED THE FURTHEST
Card 26,HAS A BROTHER,HAS A PET DOG,PLAYS A MUSICAL INSTRUMENT,IS LEFT-HANDED,HAS 3+ CHILDREN,IS WEARING A DRESS,CAN SPEAK MORE THAN ONE LANGUAGE,HAS TRAVELED THE FURTHEST,HAS BEEN TO MORE THAN 3 COUNTRIES,WAS BORN IN AUGUST,IS WEARING GLASSES,IS VEGETARIAN OR VEGAN,FREE SPACE,IS WEARING EARRINGS,IS RELATED TO THE DAD-TO-BE,HAS A PET CAT,IS RELATED TO THE MOM-TO-BE,HAS A TATTOO,IS THE SAME AGE AS YOU,HAS A BABY UNDER 2 YEARS OLD,HAS LIPSTICK IN THEIR BAG,IS WEARING NAIL POLISH,IS AN ONLY CHILD,HAS THE SAME SHOE SIZE AS YOU,IS WEARING A RING
Card 27,HAS A BABY UNDER 2 YEARS OLD,IS THE SAME AGE AS YOU,HAS A PET CAT,IS WEARING NAIL POLISH,HAS A BROTHER,WAS BORN IN AUGUST,IS RELATED TO THE DAD-TO-BE,IS LEFT-HANDED,HAS TRAVELED THE FURTHEST,IS WEARING EARRINGS,IS RELATED TO THE MOM-TO-BE,HAS LIPSTICK IN THEIR BAG,FREE SPACE,HAS THE SAME SHOE SIZE AS YOU,IS VEGETARIAN OR VEGAN,HAS 3+ CHILDREN,CAN SPEAK MORE THAN ONE LANGUAGE,HAS A TATTOO,HAS A SISTER,IS AN ONLY CHILD,HAS A PET DOG,HAS BEEN TO MORE THAN 3 COUNTRIES,PLAYS A MUSICAL INSTRUMENT,IS WEARING A DRESS,IS WEARING GLASSES
Card 28,HAS 3+ CHILDREN,HAS A SISTER,IS LEFT-HANDED,IS WEARING A DRESS,HAS A PET CAT,HAS A BABY UNDER 2 YEARS OLD,HAS BEEN TO MORE THAN 3 COUNTRIES,IS WEARING EARRINGS,IS RELATED TO THE DAD-TO-BE,IS WEARING NAIL POLISH,PLAYS A MUSICAL INSTRUMENT,IS VEGETARIAN OR VEGAN,FREE SPACE,CAN SPEAK MORE THAN ONE LANGUAGE,HAS TRAVELED THE FURTHEST,HAS THE SAME SHOE SIZE AS YOU,HAS A BROTHER,IS THE SAME AGE AS YOU,HAS TRAVELED WITH THE MOM-TO-BE,IS AN ONLY CHILD,IS RELATED TO THE MOM-TO-BE,WAS BORN IN AUGUST,HAS A TATTOO,HAS LIPSTICK IN THEIR BAG,HAS A PET DOG
Card 29,PLAYS A MUSICAL INSTRUMENT,HAS A TATTOO,HAS TRAVELED WITH THE MOM-TO-BE,IS RELATED TO THE MOM-TO-BE,IS WEARING EARRINGS,IS LEFT-HANDED,HAS TRAVELED THE FURTHEST,IS THE SAME AGE AS YOU,HAS BEEN TO MORE THAN 3 COUNTRIES,IS WEARING A DRESS,HAS A SISTER,HAS 3+ CHILDREN,FREE SPACE,HAS THE SAME SHOE SIZE AS YOU,HAS A BABY UNDER 2 YEARS OLD,IS VEGETARIAN OR VEGAN,HAS A PET DOG,HAS A BROTHER,HAS LIPSTICK IN THEIR BAG,HAS A PET CAT,IS AN ONLY CHILD,IS RELATED TO THE DAD-TO-BE,IS WEARING THEIR HAIR UP,IS WEARING NAIL POLISH,WAS BORN IN AUGUST
Card 30,HAS TRAVELED WITH THE MOM-TO-BE,WAS BORN IN ANOTHER COUNTRY,IS AN ONLY CHILD,HAS THE SAME SHOE SIZE AS YOU,HAS A SISTER,WAS BORN IN AUGUST,IS WEARING THEIR HAIR UP,IS WEARING NAIL POLISH,HAS LIPSTICK IN THEIR BAG,IS THE SAME AGE AS YOU,IS WEARING A DRESS,HAS A BABY UNDER 2 YEARS OLD,FREE SPACE,IS RELATED TO THE DAD-TO-BE,HAS A TATTOO,IS WEARING EARRINGS,IS LEFT-HANDED,HAS A PET DOG,HAS A PET CAT,HAS BEEN TO MORE THAN 3 COUNTRIES,IS RELATED TO THE MOM-TO-BE,HAS 3+ CHILDREN,HAS A BROTHER,IS VEGETARIAN OR VEGAN,HAS TRAVELED THE FURTHEST
